cause,cause_remapped,fcm_cause_remapped,effect,fcm_effect_remapped,effect_type,confidence,top_keyword_score,keywords,similarity_score,weight,full_answer,direction,net_effect
streamlined esrs standards,streamlined European Sustainability Reporting Standards,streamlined European Sustainability Reporting Standards,sustainability reporting,sustainability reporting,effect,0.9521208,0.9789,"[('esrs', 0.6717), ('standards', 0.4032), ('streamlined', 0.3817), ('significantly', 0.1177), ('esrs standards', 0.8718), ('streamlined esrs', 0.8248), ('standards', 0.4032), ('streamlined', 0.3817), ('significantly', 0.1177), ('streamlined esrs standards', 0.9789), ('esrs', 0.6717), ('standards', 0.4032), ('streamlined', 0.3817), ('significantly', 0.1177)]",0.7211009860038757,0.5,simplified sustainability reporting (csrd) companies still subject to csrd will benefit from significantly streamlined esrs standards.,0,0
streamlined esrs standards,streamlined European Sustainability Reporting Standards,streamlined European Sustainability Reporting Standards,sustainability reporting,sustainability reporting,increase,0.99874216,0.9878,"[('esrs', 0.6926), ('standards', 0.4282), ('streamlined', 0.3493), ('significantly', 0.1099), ('esrs standards', 0.902), ('streamlined esrs', 0.8074), ('standards', 0.4282), ('streamlined', 0.3493), ('significantly', 0.1099), ('streamlined esrs standards', 0.9878), ('esrs', 0.6926), ('standards', 0.4282), ('streamlined', 0.3493), ('significantly', 0.1099)]",0.740986168,1,simplified sustainability reporting (csrd) companies still subject to csrd will benefit from significantly streamlined esrs standards.,1,0.9987421631813049
high paying customers,sustainability-driven consumer demand,sustainability-driven consumer demand,sustainability reporting,sustainability reporting,increase,0.5105817,0.9216,"[('customers', 0.7024), ('paying', 0.4088), ('high', 0.3545), ('paying customers', 0.7516), ('customers', 0.7024), ('high paying', 0.6185), ('paying', 0.4088), ('high', 0.3545), ('high paying customers', 0.9216), ('customers', 0.7024), ('high paying', 0.6185), ('paying', 0.4088), ('high', 0.3545)]",0.8207204937934875,1,but why do companies decide to greenwash ? there are three main drivers that we see today : more high paying customers : about one third of consumers worldwide today are prepared to pay up to 25 % more for more sustainable products.,1,0.5105816721916199
carbon border adjustment,CBAM sector coverage,CBAM sector coverage,sustainability reporting,sustainability reporting,decrease,0.15494889,0.8826,"[('carbon', 0.4271), ('border', 0.3628), ('adjustment', 0.3428), ('mechanism', 0.2587), ('carbon border', 0.7123), ('border adjustment', 0.6517), ('adjustment mechanism', 0.4467), ('border', 0.3628), ('mechanism', 0.2587), ('carbon border adjustment', 0.8826), ('carbon', 0.4271), ('border', 0.3628), ('adjustment', 0.3428), ('mechanism', 0.2587)]",0.7667703032493591,-1,"senior government officials, business leaders and sustainability experts, from both south africa and denmark, provided insight and answered questions on the european union ' s carbon border adjustment mechanism (cbam) and environmental, social and governance (esg) reporting that are expected to have "" a disproportionate effect on our sector "", according to seifsa ceo lucio trentini.",-1,0.15494889
cbam environmental social,CBAM sector coverage,CBAM sector coverage,sustainability reporting,sustainability reporting,decrease,0.65019065,0.5684,"[('border', 0.3866), ('carbon', 0.3588), ('reporting', 0.2484), ('esg', 0.1797), ('mechanism', 0.0599), ('carbon border', 0.5468), ('social governance', 0.3926), ('cbam', 0.3706), ('esg reporting', 0.305), ('adjustment mechanism', 0.1181), ('cbam environmental social', 0.5684), ('governance esg reporting', 0.5166), ('social governance', 0.3926), ('border adjustment mechanism', 0.3718), ('carbon', 0.3588)]",0.7667703032493591,-1,"senior government officials, business leaders and sustainability experts, from both south africa and denmark, provided insight and answered questions on the european union ' s carbon border adjustment mechanism (cbam) and environmental, social and governance (esg) reporting that are expected to have "" a disproportionate effect on our sector "", according to seifsa ceo lucio trentini.",-1,0.6501906514167786
carbon intensive downstream,carbon-intensive product competitiveness,carbon-intensive product competitiveness,sustainable regulation,sustainable regulation,decrease,0.88005495,0.7505,"[('downstream', 0.5074), ('sustainable', 0.4344), ('carbon', 0.4055), ('alternatives', 0.3371), ('competitive', 0.268), ('downstream products', 0.6365), ('sustainable alternatives', 0.6082), ('carbon intensive', 0.5481), ('products', 0.2742), ('competitive', 0.268), ('carbon intensive downstream', 0.7505), ('downstream products', 0.6365), ('sustainable alternatives', 0.6082), ('products competitive', 0.4744), ('intensive', 0.1668)]",0.7895384430885315,-1,"if carbon intensive downstream products are more competitive than sustainable alternatives, the total balance of carbon emissions may be aggravated.",-1,0.8800549507141113
sustainability diligence csdd,corporate responsibility,corporate responsibility,sustainable regulation,sustainable regulation,effect,0.28952125,0.9086,"[('sustainability', 0.5732), ('csdd', 0.5277), ('corporate', 0.4226), ('diligence', 0.3151), ('corporate sustainability', 0.7365), ('sustainability diligence', 0.6785), ('diligence csdd', 0.6623), ('corporate', 0.4226), ('diligence', 0.3151), ('sustainability diligence csdd', 0.9086), ('corporate sustainability', 0.7365), ('csdd', 0.5277), ('corporate', 0.4226), ('diligence', 0.3151)]",0.655930758,0.5,"the study extensively overviews seven policy instruments : anti coercion instrument (aci), enforcement regulation (er), international procurement instrument (ipi), carbon border adjustment mechanism (cbam), corporate sustainability due diligence (csdd), level playing field provisions in the eu uk trade and cooperation agreement (lpf), and eu regulation on deforestation free products (eudr).",0,0
declining demand,decline in demand for European steel,decline in demand for European steel,sustainable regulation,sustainable regulation,decrease,0.51658654,1,"[('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659), ('declining demand', 1.0), ('demand', 0.7866), ('declining', 0.6659)]",0.758536696,-1,"tata steel nederland calls for clear european conditions for a sustainable future of europe ' s industry by dagmar dieterle the steel industry is facing a perfect storm : decarbonisation, competitive pressure, imports from outside eu and declining demand are presenting companies with immense challenges.",-1,0.5165865421295166
new ecodesign requirements,ecodesign requirements,ecodesign requirements,sustainable regulation,sustainable regulation,increase,0.9765024,0.7782,"[('ecodesign', 0.5738), ('requirements', 0.4533), ('espr', 0.3241), ('acts', 0.2623), ('developed', 0.1707), ('ecodesign requirements', 0.749), ('requirements developed', 0.5119), ('delegated acts', 0.4541), ('espr', 0.3241), ('developed', 0.1707), ('new ecodesign requirements', 0.7782), ('requirements developed', 0.5119), ('delegated acts', 0.4541), ('espr', 0.3241), ('developed', 0.1707)]",0.7071160674095154,1,"new ecodesign requirements that will be developed under espr delegated acts must always follow the eu better regulation principles, including being based on evidence via an impact assessment and avoiding unnecessary burdens.",1,0.9765024185180664
conditions european producers,EU industrial competitiveness,EU industrial competitiveness,sustainable regulation,sustainable regulation,effect,0.28952125,0.6312,"[('sustainable', 0.4549), ('compliance', 0.3613), ('producers', 0.2765), ('european', 0.1801), ('upsets', 0.0436), ('agreement sustainable', 0.5887), ('european producers', 0.4812), ('competitive conditions', 0.4417), ('compliance provisions', 0.3852), ('development upsets', 0.2976), ('conditions european producers', 0.6312), ('sustainable development', 0.5052), ('compliance provisions agreement', 0.4356), ('balance competitive', 0.3679), ('upsets', 0.0436)]",0.7080250382423401,0.5,"before having a new carbon pricing system, the eu should, if necessary, suspend tariff preferences when non compliance with the provisions of the agreement on sustainable development upsets the balance of competitive conditions for european producers.",0,0
high energy prices,high energy prices,high energy prices,sustainable regulation,sustainable regulation,decrease,0.45329094,0.8151,"[('regulation', 0.5549), ('energy', 0.4075), ('prices', 0.3444), ('excessive', 0.3171), ('high', 0.2589), ('energy prices', 0.7262), ('excessive regulation', 0.6826), ('high energy', 0.4907), ('prices', 0.3444), ('high', 0.2589), ('high energy prices', 0.8151), ('regulation high energy', 0.707), ('excessive regulation', 0.6826), ('prices', 0.3444), ('high', 0.2589)]",0.7442151308059692,-1,"excessive regulation and high energy prices contribute to second consecutive year of downturn 2024 has been a year of economic contraction for europe ' s technology industries, with a combined downturn of 4.",-1,0.4532909393310547
high energy prices,high energy prices,high energy prices,sustainable regulation,sustainable regulation,increase,0.462772,0.8328,"[('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('energy prices', 0.7164), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923), ('high energy prices', 0.8328), ('high energy', 0.5701), ('energy', 0.4309), ('prices', 0.3548), ('high', 0.2923)]",0.7444391250610352,1,"excessive regulation and high energy prices contribute to second consecutive year of downturn 2024 has been a year of economic contraction for europe ' s technology industries, with a combined downturn of 4.",1,0.462772012
environmental protection trade,insufficient trade safeguards,insufficient trade safeguards,sustainable regulation,sustainable regulation,increase,0.537228,0.6419,"[('regulation', 0.4968), ('safeguards', 0.3304), ('environmental', 0.3228), ('lacks', 0.1388), ('trade', 0.0085), ('regulation lacks', 0.6022), ('ensure environmental', 0.5094), ('trade partner', 0.3369), ('mechanisms', 0.1517), ('proper', 0.0383), ('environmental protection trade', 0.6419), ('regulation', 0.4968), ('proper safeguards', 0.3915), ('lacks proper', 0.1816), ('mechanisms', 0.1517)]",0.7604032754898071,1,our assessment is that the gsp regulation lacks the proper safeguards and mechanisms to ensure environmental protection in trade partner countries.,1,0.537227988
environmental protection trade,insufficient trade safeguards,insufficient trade safeguards,sustainable regulation,sustainable regulation,effect,0.97347313,0.6419,"[('regulation', 0.4968), ('safeguards', 0.3304), ('environmental', 0.3228), ('lacks', 0.1388), ('trade', 0.0085), ('regulation lacks', 0.6022), ('ensure environmental', 0.5094), ('trade partner', 0.3369), ('mechanisms', 0.1517), ('proper', 0.0383), ('environmental protection trade', 0.6419), ('regulation', 0.4968), ('proper safeguards', 0.3915), ('lacks proper', 0.1816), ('mechanisms', 0.1517)]",0.7489777207374573,0.5,our assessment is that the gsp regulation lacks the proper safeguards and mechanisms to ensure environmental protection in trade partner countries.,0,0
gsp regulation lacks,insufficient trade safeguards,insufficient trade safeguards,sustainable regulation,sustainable regulation,decrease,0.119945005,0.7311,"[('gsp', 0.4252), ('regulation', 0.4117), ('safeguards', 0.2745), ('environmental', 0.2621), ('lacks', 0.098), ('gsp regulation', 0.6675), ('ensure environmental', 0.4394), ('partner countries', 0.3612), ('mechanisms', 0.1128), ('lacks', 0.098), ('gsp regulation lacks', 0.7311), ('environmental protection trade', 0.5825), ('lacks proper safeguards', 0.3718), ('mechanisms', 0.1128), ('proper', -0.014)]",0.7816573977470398,-1,our assessment is that the gsp regulation lacks the proper safeguards and mechanisms to ensure environmental protection in trade partner countries.,-1,0.11994500458240509
economy action plan,circular economy legislation,circular economy legislation,the circular economy,the circular economy,effect,0.9925736,1,"[('economy', 0.6019), ('plan', 0.5163), ('action', 0.4981), ('economy action', 0.8447), ('action plan', 0.7704), ('economy', 0.6019), ('plan', 0.5163), ('action', 0.4981), ('economy action plan', 1.0), ('action plan', 0.7704), ('economy', 0.6019), ('plan', 0.5163), ('action', 0.4981)]",0.6969140768051147,0.5,"targets), circular economy action plan, regulation on single use plastics, chemical strategie for sustainability, farm to fork & biodiversity strategy, zero pollution action plan ,...",0,0
